Altium Designer Pick and Place Locations
C:\GIT\UltraZohm\pcb_design\uz_per_thermocoupler_connector\Work_Altium\Project Outputs for uz_per_thermocoupler_connector\Rev02\Pick Place\Pick_and_Place_uz_per_thermocoupler_connector_[No Variations]_Rev02.csv

========================================================================================================================
File Design Information:

Date:       29.12.23
Time:       17:27
Revision:   443b26e759219e98650a52f4b7306c67b7dec08d
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"X16","CMJ-XXPS","17.0000","17.0500","12.0000","14.0500","17.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X12","CMJ-XXPS","51.0000","51.0500","12.0000","14.0500","51.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X8","CMJ-XXPS","85.0000","85.0500","12.0000","14.0500","85.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X4","CMJ-XXPS","119.0000","119.0500","12.0000","14.0500","119.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X15","CMJ-XXPS","25.5000","25.5500","12.0000","14.0500","25.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X11","CMJ-XXPS","59.5000","59.5500","12.0000","14.0500","59.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X7","CMJ-XXPS","93.5000","93.5500","12.0000","14.0500","93.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X3","CMJ-XXPS","127.5000","127.5500","12.0000","14.0500","127.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X14","CMJ-XXPS","34.0000","34.0500","12.0000","14.0500","34.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X10","CMJ-XXPS","68.0000","68.0500","12.0000","14.0500","68.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X6","CMJ-XXPS","102.0000","102.0500","12.0000","14.0500","102.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X2","CMJ-XXPS","136.0000","136.0500","12.0000","14.0500","136.0500","11.9500","90","CMJ-XXPS","TopLayer"
"X13","CMJ-XXPS","42.5000","42.5500","12.0000","14.0500","42.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X9","CMJ-XXPS","76.5000","76.5500","12.0000","14.0500","76.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X5","CMJ-XXPS","110.5000","110.5500","12.0000","14.0500","110.5500","11.9500","90","CMJ-XXPS","TopLayer"
"X1","CMJ-XXPS","144.5000","144.5500","12.0000","14.0500","144.5500","16.1500","90","CMJ-XXPS","TopLayer"
"X17","IPL1-115-01-XX-D-RA","78.4600","78.4600","102.6520","91.7300","60.6800","93.0000","0","IPL1-115-01-L-D-RA-K","TopLayer"
"MH4","NY_PMS_440_0025_PH","5.0000","5.0000","95.0000","95.0000","5.0000","95.0000","0","Mouting Hole, 3mm","TopLayer"
"MH3","NY_PMS_440_0025_PH","155.0000","155.0000","95.0000","95.0000","155.0000","95.0000","0","Mouting Hole, 3mm","TopLayer"
"MH2","NY_PMS_440_0025_PH","155.0000","155.0000","5.0000","5.0000","155.0000","5.0000","0","Mouting Hole, 3mm","TopLayer"
"MH1","NY_PMS_440_0025_PH","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","0","Mouting Hole, 3mm","TopLayer"
"R4","RES_0603_1608","146.7000","146.7000","21.3000","21.3000","146.7000","21.9500","270","0R","BottomLayer"
"R3","RES_0603_1608","144.7000","144.7000","21.3000","21.3000","144.7000","20.6500","90","100R","BottomLayer"
"R2","RES_0603_1608","142.6000","142.6000","21.3000","21.3000","142.6000","21.9500","270","0R","BottomLayer"
"R1","RES_0603_1608","140.5000","140.5000","21.3000","21.3000","140.5000","20.6500","90","1k","BottomLayer"
